                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9142,                 1.9284,                 1.8635,                0.71705,                0.48478,                0.54419,                0.19372,                 2.3423,                 1.8614,                 2.0351,                0.00011,                0.00011,                0.00011
                     35,                 1.8882,                 1.9007,                 1.8474,                0.70414,                0.52825,                 0.5655,                0.24333,                 2.1165,                 1.7929,                 1.9112,              0.0001084,              0.0001084,              0.0001084
                     36,                 1.9006,                 1.9087,                 1.8551,                0.68066,                0.53521,                0.56285,                0.22821,                 2.1952,                 1.8384,                 1.9634,             0.00010681,             0.00010681,             0.00010681
                     37,                 1.8771,                 1.8676,                 1.8405,                0.73685,                0.51168,                0.57509,                0.23885,                 2.1009,                 1.7982,                 1.9022,             0.00010521,             0.00010521,             0.00010521
                     38,                 1.8869,                 1.8759,                 1.8444,                0.71185,                0.52636,                 0.5777,                0.24505,                 2.0844,                 1.7803,                 1.8879,             0.00010362,             0.00010362,             0.00010362
                     39,                 1.8484,                 1.8303,                 1.8143,                0.67304,                0.50068,                0.55586,                0.24184,                 2.0864,                 1.8226,                 1.8903,             0.00010203,             0.00010203,             0.00010203
                     40,                 1.8707,                 1.8408,                 1.8259,                0.66412,                0.54086,                0.57677,                0.24449,                 2.0816,                 1.7673,                  1.885,             0.00010043,             0.00010043,             0.00010043
                     41,                 1.8598,                 1.8083,                 1.8117,                0.73794,                0.52867,                0.59867,                0.27147,                 2.0136,                 1.7093,                 1.8145,             9.8838e-05,             9.8838e-05,             9.8838e-05
                     42,                 1.8413,                 1.7904,                 1.7918,                0.69115,                0.53242,                0.57622,                0.26012,                 2.0466,                 1.7218,                 1.8476,             9.7244e-05,             9.7244e-05,             9.7244e-05
                     43,                 1.8565,                  1.818,                 1.8139,                0.70392,                 0.5468,                0.58947,                0.26337,                 2.0022,                 1.7254,                  1.819,              9.565e-05,              9.565e-05,              9.565e-05
                     44,                 1.8442,                 1.7888,                 1.7952,                0.68718,                0.53183,                0.57421,                0.21976,                 2.2367,                 1.7298,                 1.9292,             9.4056e-05,             9.4056e-05,             9.4056e-05
                     45,                 1.8332,                 1.7779,                 1.7852,                0.69526,                0.54691,                 0.5895,                0.28426,                 1.9219,                 1.6914,                 1.7845,             9.2462e-05,             9.2462e-05,             9.2462e-05
                     46,                  1.833,                 1.7556,                 1.7805,                 0.7213,                0.54018,                 0.5938,                0.25841,                 2.0498,                 1.6659,                 1.8221,             9.0868e-05,             9.0868e-05,             9.0868e-05
                     47,                 1.8193,                 1.7384,                  1.772,                0.72611,                0.56123,                0.59332,                0.24981,                 2.0852,                 1.6912,                  1.852,             8.9275e-05,             8.9275e-05,             8.9275e-05
                     48,                 1.8097,                  1.736,                 1.7721,                0.70256,                0.55692,                0.58969,                0.26388,                  2.031,                 1.6686,                 1.8348,             8.7681e-05,             8.7681e-05,             8.7681e-05
                     49,                 1.8031,                 1.7143,                 1.7609,                0.70817,                0.56703,                0.61903,                0.27857,                 1.9716,                 1.6833,                 1.7911,             8.6087e-05,             8.6087e-05,             8.6087e-05
                     50,                 1.8159,                 1.7101,                 1.7628,                0.71909,                0.56395,                0.61244,                 0.2493,                 2.0933,                 1.6597,                 1.8517,             8.4493e-05,             8.4493e-05,             8.4493e-05
                     51,                 1.8085,                 1.7188,                 1.7606,                0.69711,                0.58857,                0.62221,                0.27142,                  2.003,                 1.6649,                 1.7975,             8.2899e-05,             8.2899e-05,             8.2899e-05
                     52,                 1.8035,                 1.7115,                 1.7524,                 0.7306,                0.54382,                  0.605,                0.26973,                 1.9997,                 1.6538,                  1.789,             8.1305e-05,             8.1305e-05,             8.1305e-05
                     53,                 1.8002,                 1.6831,                 1.7499,                0.68401,                0.56209,                0.60863,                0.27001,                 2.0328,                 1.6613,                 1.8125,             7.9711e-05,             7.9711e-05,             7.9711e-05
                     54,                 1.7912,                 1.6949,                 1.7342,                0.69521,                0.55715,                0.60469,                 0.2655,                 2.0389,                 1.6409,                 1.8128,             7.8117e-05,             7.8117e-05,             7.8117e-05
